cgpa,math,english,science,programming,communication,leadership,creativity,analytical,interest_tech,interest_business,interest_health,interest_law,interest_arts,interest_education,career
3.58,7,8,10,3,7,5,6,7,3,5,9,2,1,4,Pharmacist
3.86,8,7,8,3,8,8,6,9,3,4,9,2,4,5,Medical Doctor
3.1,3,7,4,6,8,5,8,7,7,4,2,1,8,1,Graphic Designer
3.82,6,8,8,2,7,7,5,8,2,7,8,2,3,4,Pharmacist
3.38,5,8,5,2,8,8,5,6,4,7,2,7,4,7,Public Administrator
2.93,6,7,7,3,8,8,7,5,5,4,4,2,4,9,Teacher / Educator
4.45,4,8,3,4,8,9,8,6,4,3,1,3,7,4,Journalist / Media
4.37,4,9,6,2,9,9,5,7,2,4,1,9,3,4,Lawyer
4.72,9,6,5,4,6,8,3,9,3,9,3,5,3,2,Accountant
4.04,8,6,7,6,5,5,5,8,7,5,2,4,2,2,Cybersecurity Analyst
3.31,7,9,6,2,9,7,6,8,1,5,2,9,5,4,Lawyer
4.1,8,7,5,3,5,6,6,8,3,8,2,6,1,3,Accountant
4.08,7,8,8,1,8,7,7,8,5,3,4,1,6,9,Teacher / Educator
3.5,4,8,3,4,9,8,9,6,2,4,3,4,9,4,Journalist / Media
2.77,4,9,4,5,9,7,8,7,3,3,2,5,8,5,Journalist / Media
3.45,7,6,7,5,5,5,6,8,9,3,2,2,5,2,Mechanical Engineer
4.25,9,7,7,4,7,4,8,8,8,4,2,1,4,2,Mechanical Engineer
3.81,8,7,4,3,8,9,6,6,2,8,2,3,5,4,Business Manager
3.01,4,8,5,4,8,4,8,6,6,5,1,1,8,3,Graphic Designer
4.34,6,9,5,4,8,9,7,7,3,8,2,4,6,4,Entrepreneur
3.84,3,6,4,4,7,3,8,5,5,6,2,1,8,2,Graphic Designer
4.33,9,7,8,8,5,5,6,8,7,4,4,1,1,3,Data Scientist
3.99,8,7,9,8,7,4,5,8,8,3,1,1,1,3,Software Engineer
3.44,8,8,6,5,8,9,8,7,6,8,4,5,5,5,Entrepreneur
3.85,7,7,4,4,8,8,8,7,6,9,2,5,5,3,Entrepreneur
3.91,7,7,5,2,8,8,6,8,3,8,3,7,2,4,Business Manager
3.88,4,8,4,4,8,6,8,6,4,2,3,3,8,3,Journalist / Media
3.16,8,7,8,8,6,4,6,9,7,4,3,4,3,4,Cybersecurity Analyst
4.68,8,8,8,5,6,4,6,8,9,4,3,1,6,1,Mechanical Engineer
3.97,7,6,7,1,7,8,6,8,3,9,2,5,4,4,Business Manager
4.92,9,7,7,5,8,6,4,8,4,9,1,6,2,2,Accountant
3.97,8,5,8,7,6,5,6,7,8,2,1,2,3,3,Software Engineer
3.59,8,6,7,9,4,7,5,8,8,4,2,4,2,1,Cybersecurity Analyst
4.64,6,5,6,3,7,6,9,8,6,3,2,2,9,3,Architect
3.58,6,8,5,4,9,6,8,6,3,4,1,3,7,6,Journalist / Media
3.4,8,7,6,2,7,6,3,8,4,8,1,5,2,4,Accountant
3.39,6,9,8,3,9,7,7,6,4,2,2,3,7,9,Teacher / Educator
4.99,7,6,9,2,7,5,5,9,2,6,8,2,2,5,Pharmacist
2.66,5,8,5,3,7,3,8,5,5,2,2,1,9,4,Graphic Designer
4.76,7,7,9,1,8,5,5,9,3,2,8,4,1,3,Medical Doctor
2.98,5,9,3,3,9,7,9,7,3,4,1,3,9,4,Journalist / Media
4.49,7,8,10,2,6,5,6,7,3,3,9,2,2,6,Medical Doctor
4.46,7,6,9,1,7,5,5,8,3,6,8,2,3,5,Pharmacist
4.2,9,7,8,9,7,7,5,7,8,4,2,1,3,2,Software Engineer
4.22,6,7,6,3,9,8,8,7,3,2,4,2,6,8,Teacher / Educator
3.83,6,7,9,2,7,5,5,8,3,3,9,3,3,4,Medical Doctor
3.93,3,7,3,4,8,4,8,6,5,4,1,2,8,3,Graphic Designer
2.94,6,8,4,2,9,8,6,7,2,8,2,7,5,5,Public Administrator
4.2,7,8,7,2,8,8,8,7,3,9,2,3,5,3,Entrepreneur
4.75,7,7,7,3,6,4,7,7,7,5,1,1,6,1,Mechanical Engineer
4.69,7,9,5,3,9,8,7,8,1,5,2,8,5,4,Lawyer
3.77,5,7,5,1,8,9,6,6,3,8,3,6,2,7,Public Administrator
3.96,7,6,9,1,9,7,7,8,3,2,8,2,3,3,Medical Doctor
3.17,7,8,5,3,9,7,6,6,5,4,3,2,5,8,Teacher / Educator
3.79,9,7,7,9,6,5,8,8,7,3,1,1,3,4,Software Engineer
4.44,7,7,7,8,6,6,6,8,8,2,1,2,4,2,Software Engineer
2.89,5,8,5,2,9,7,9,6,5,4,1,4,9,4,Journalist / Media
4.11,8,7,8,7,5,5,5,8,8,4,3,5,2,1,Cybersecurity Analyst
4.32,6,8,9,2,6,5,5,7,2,5,9,2,3,3,Pharmacist
4.3,6,7,5,6,7,4,9,5,6,4,2,1,9,1,Graphic Designer
4.18,6,9,5,2,7,8,7,5,2,7,4,6,4,5,Public Administrator
4.57,7,6,8,3,6,6,4,9,4,6,9,3,1,4,Pharmacist
3.9,7,7,6,2,7,7,8,6,6,4,2,3,9,3,Architect
3.69,7,7,9,2,7,6,4,8,4,5,8,1,2,3,Pharmacist
3.86,9,8,8,7,5,3,7,8,8,7,3,1,2,4,Data Scientist
3.77,8,6,9,1,8,5,5,7,3,4,8,2,3,5,Pharmacist
4.06,8,5,9,9,5,7,7,8,7,7,2,1,3,5,Data Scientist
4.21,8,5,9,9,5,6,7,8,7,5,2,2,3,3,Data Scientist
3.23,9,5,5,4,7,6,5,8,4,8,2,6,1,2,Accountant
3.34,9,8,7,8,7,3,7,8,8,4,2,1,3,4,Data Scientist
3.37,7,8,6,3,7,5,8,6,7,4,2,1,8,3,Architect
4.11,3,7,4,5,6,4,8,6,5,2,2,2,8,2,Graphic Designer
4.82,8,6,8,5,4,6,7,7,8,5,2,1,5,1,Mechanical Engineer
3.71,7,10,4,4,8,9,9,8,5,9,2,3,5,3,Entrepreneur
3.66,8,7,9,1,8,6,5,8,4,5,8,2,1,6,Pharmacist
3.54,7,8,8,1,8,8,7,6,2,3,3,1,5,8,Teacher / Educator
4.68,4,9,6,1,8,9,8,9,2,6,2,9,4,4,Lawyer
3.26,8,7,6,9,8,7,7,9,7,2,3,1,1,2,Software Engineer
3.41,9,9,10,9,7,5,7,8,7,4,3,1,3,4,Data Scientist
4.5,7,9,6,5,9,9,9,8,4,8,2,3,5,3,Entrepreneur
3.5,6,8,4,2,8,8,7,9,4,9,2,4,3,3,Business Manager
3.79,7,8,5,4,9,9,8,7,6,8,1,5,6,3,Entrepreneur
4.49,7,7,9,1,9,5,7,8,3,3,9,3,2,3,Medical Doctor
4.98,7,7,9,1,8,4,6,8,4,5,9,2,1,6,Pharmacist
4.12,8,7,9,8,5,5,7,8,8,4,2,2,2,2,Software Engineer
3.81,8,7,8,7,5,7,7,8,7,4,3,2,4,2,Software Engineer
4.1,7,7,7,3,7,9,8,7,2,8,2,4,4,2,Business Manager
3.81,6,8,8,2,9,5,6,8,3,7,8,1,2,4,Pharmacist
4.94,6,8,4,6,7,8,9,6,5,8,2,5,5,2,Entrepreneur
4.63,8,6,7,4,5,6,7,9,8,3,3,2,5,2,Mechanical Engineer
4.03,8,6,6,4,7,6,5,8,3,8,1,4,2,2,Accountant
4.54,9,8,8,6,6,4,6,9,9,5,3,2,2,5,Data Scientist
4.29,5,9,4,2,7,8,6,7,1,7,2,7,2,5,Public Administrator
3.99,8,7,9,2,7,6,6,7,3,3,8,2,1,6,Medical Doctor
4.01,7,7,9,2,8,7,5,7,3,5,9,2,2,6,Pharmacist
4.34,7,6,7,4,5,6,8,7,6,4,2,2,9,4,Architect
3.08,5,8,4,2,10,8,5,7,2,7,2,9,4,5,Public Administrator
4.43,9,7,8,4,6,6,6,8,9,4,3,1,4,4,Mechanical Engineer
4.32,6,8,4,1,9,9,6,7,2,5,2,9,4,4,Lawyer
4.46,5,9,7,6,9,8,7,7,5,8,2,3,6,5,Entrepreneur
4.29,5,7,5,3,8,7,6,5,5,2,3,1,6,9,Teacher / Educator
3.33,7,7,7,3,4,6,7,8,8,2,2,2,7,2,Mechanical Engineer
3.08,7,9,6,4,8,9,6,9,3,3,3,1,5,8,Teacher / Educator
4.67,6,8,7,3,9,8,7,8,1,6,3,8,3,4,Lawyer
3.33,5,7,6,2,9,9,6,6,2,8,3,4,4,2,Business Manager
4.65,9,6,7,8,6,6,7,9,8,7,2,1,3,3,Data Scientist
4.75,5,8,5,1,8,7,6,7,1,8,3,8,5,5,Lawyer
3.97,8,7,8,2,6,5,4,9,3,4,8,2,2,4,Medical Doctor
4.28,5,8,4,3,9,8,7,7,2,6,1,8,4,4,Lawyer
3.4,9,5,8,9,4,6,7,9,7,2,2,2,3,3,Software Engineer
4.86,7,6,9,8,5,4,6,8,9,2,1,6,2,2,Cybersecurity Analyst
4.83,6,5,7,4,6,4,9,8,6,3,2,1,9,3,Architect
3.7,8,7,8,9,5,5,6,10,7,5,3,2,2,3,Data Scientist
4.34,4,9,4,2,9,8,6,8,1,7,2,9,4,4,Lawyer
2.96,5,8,8,3,9,8,8,7,4,4,3,1,6,8,Teacher / Educator
3.85,6,8,5,2,7,8,7,7,2,5,2,9,3,5,Public Administrator
4.53,6,7,8,1,8,9,4,8,3,3,8,1,2,4,Medical Doctor
3.44,5,9,6,3,8,8,4,6,1,5,4,7,5,6,Public Administrator
4.28,8,7,9,1,8,6,6,7,3,3,9,2,1,4,Medical Doctor
4.24,6,9,6,3,9,7,9,5,5,3,3,3,4,8,Teacher / Educator
3.59,8,7,7,5,5,7,9,7,5,2,2,2,7,3,Architect
3.8,7,7,6,2,5,4,8,7,5,5,3,2,8,4,Architect
4.33,7,7,9,2,7,5,7,9,2,2,8,1,2,4,Medical Doctor
4.28,4,6,4,5,6,4,9,5,5,3,1,1,8,1,Graphic Designer
2.52,3,6,5,4,6,6,8,6,5,3,2,2,8,3,Graphic Designer
3.61,5,9,4,5,9,7,9,6,2,2,1,4,7,4,Journalist / Media
3.57,4,7,4,2,9,8,5,6,2,6,2,9,2,7,Public Administrator
3.87,6,7,6,4,8,9,8,6,3,9,1,5,3,3,Business Manager
3.94,5,8,6,2,8,8,8,8,1,6,2,8,5,5,Lawyer
4.61,8,8,7,4,5,5,5,7,2,8,2,5,3,3,Accountant
3.88,7,7,9,3,6,6,6,7,3,5,9,1,3,3,Pharmacist
3.76,4,8,5,2,8,8,8,8,3,6,1,9,4,5,Lawyer
3.74,8,9,7,8,5,4,8,9,9,3,3,1,3,5,Software Engineer
4.17,8,5,9,7,5,6,7,10,8,3,2,5,2,3,Cybersecurity Analyst
3.13,8,6,8,3,7,6,8,9,7,2,3,1,3,2,Mechanical Engineer
4.0,9,7,5,3,8,6,5,7,3,9,1,6,2,3,Accountant
3.49,7,8,6,3,8,8,8,5,5,5,3,2,7,8,Teacher / Educator
4.23,7,9,5,2,8,9,7,8,2,7,4,7,3,6,Public Administrator
4.08,3,8,6,3,8,7,9,6,4,3,2,4,8,5,Journalist / Media
3.86,6,7,7,4,6,5,8,7,6,2,1,2,8,2,Architect
3.65,5,8,4,3,9,7,4,7,1,7,3,8,4,5,Public Administrator
4.11,8,6,9,3,6,4,7,9,7,2,1,1,3,3,Mechanical Engineer
3.26,4,7,5,2,9,9,6,6,2,6,3,7,2,6,Public Administrator
4.83,9,8,6,2,6,8,5,9,4,9,3,4,2,2,Accountant
4.27,7,9,5,1,8,9,8,7,3,9,3,4,4,4,Business Manager
2.74,4,8,5,6,7,5,9,6,4,4,1,2,8,1,Graphic Designer
3.78,6,7,5,6,8,5,9,6,5,3,1,1,8,2,Graphic Designer
4.28,8,6,6,3,7,7,5,8,2,8,2,4,3,2,Accountant
4.03,6,9,6,5,7,9,10,8,6,9,2,5,3,3,Entrepreneur
4.05,8,6,9,2,6,7,6,9,3,2,8,3,1,4,Medical Doctor
2.86,4,9,6,2,8,7,8,7,3,2,1,4,8,5,Journalist / Media
3.71,6,9,7,2,8,7,7,6,3,4,2,1,6,8,Teacher / Educator
4.78,6,7,9,1,7,6,4,7,4,2,9,1,2,5,Medical Doctor
4.34,8,7,7,7,6,4,7,8,8,5,2,2,2,3,Data Scientist
3.95,7,7,9,9,6,4,5,9,8,3,2,3,1,1,Cybersecurity Analyst
3.85,8,7,8,2,7,7,4,9,3,4,9,2,2,3,Pharmacist
3.65,6,8,8,2,9,8,8,5,5,3,3,2,4,8,Teacher / Educator
4.82,7,7,4,3,9,8,8,6,2,8,2,5,3,5,Business Manager
3.5,6,9,5,1,8,7,6,8,4,6,3,9,4,4,Lawyer
3.65,6,7,7,4,6,4,8,8,5,4,1,2,8,4,Architect
3.59,8,8,9,2,7,5,4,7,3,4,9,2,2,4,Pharmacist
3.27,7,5,7,8,6,6,6,8,8,4,3,5,3,3,Cybersecurity Analyst
3.81,6,9,4,3,8,8,5,6,1,7,3,9,4,6,Public Administrator
4.16,6,8,9,3,6,5,6,8,2,5,9,3,1,3,Pharmacist
4.87,6,6,7,3,5,5,9,7,5,4,1,1,9,4,Architect
3.2,9,6,6,3,6,6,4,8,4,9,2,6,1,2,Accountant
3.87,7,7,8,9,5,5,6,7,7,4,3,1,2,2,Software Engineer
4.69,7,7,8,3,8,5,5,9,3,5,8,3,2,5,Pharmacist
3.75,5,8,4,2,9,7,5,5,2,6,2,8,5,5,Public Administrator
4.67,10,7,7,4,4,5,6,8,7,4,1,2,4,3,Mechanical Engineer
4.73,6,9,6,1,9,8,7,7,3,7,1,8,4,5,Lawyer
3.16,7,7,8,4,6,6,7,9,8,3,1,2,5,1,Mechanical Engineer
3.63,6,7,5,1,7,9,7,7,4,9,1,7,4,4,Business Manager
3.79,4,9,4,2,8,9,6,7,1,6,2,9,5,6,Lawyer
4.21,7,6,8,7,5,4,5,8,7,4,2,4,4,3,Cybersecurity Analyst
4.74,8,8,7,8,7,4,8,8,8,5,3,2,3,2,Data Scientist
3.98,7,7,6,3,8,5,8,7,6,3,3,1,8,2,Architect
3.14,9,7,7,4,6,9,4,8,5,9,1,5,3,2,Accountant
4.89,6,8,5,3,8,8,9,7,6,9,2,4,4,4,Entrepreneur
4.17,8,7,8,10,4,4,6,9,8,3,4,1,3,4,Data Scientist
3.7,5,8,4,2,8,8,5,7,4,6,3,7,3,7,Public Administrator
3.26,7,6,8,9,7,4,6,9,8,5,4,6,2,3,Cybersecurity Analyst
4.44,7,6,9,3,6,5,5,9,3,4,8,2,1,4,Pharmacist
3.31,7,7,6,5,8,9,8,7,5,9,2,4,5,4,Entrepreneur
4.52,9,7,8,6,5,3,7,9,8,6,2,1,2,4,Data Scientist
4.54,6,8,8,3,8,5,6,7,4,5,9,2,1,5,Pharmacist
4.65,9,6,8,7,7,4,5,9,7,4,3,2,1,5,Data Scientist
3.99,8,6,9,3,8,6,4,8,2,5,9,1,1,5,Pharmacist
3.78,8,6,5,5,5,7,5,8,3,8,1,5,1,3,Accountant
4.46,7,8,8,2,7,6,5,7,5,5,9,2,2,5,Pharmacist
4.56,6,6,7,7,5,5,7,8,7,3,2,5,2,2,Cybersecurity Analyst
3.06,9,7,7,4,6,6,4,7,4,8,3,5,2,2,Accountant
4.59,9,6,9,5,7,5,8,8,8,3,1,1,6,1,Mechanical Engineer
4.0,8,7,6,7,5,5,6,8,8,2,2,3,2,2,Cybersecurity Analyst
